PC=000004EC [FE041023] X00=00000000 X08=00500000 X00=00000000 sh      zero,-32(s0/fp)
PC=000004F0 [FEE45783] X15=00005555 X08=00500000 X14=00005555 lhu     a5,-18(s0/fp)
PC=000004F4 [FFF7C793] X15=FFFFAAAA X15=00005555 X31=00000000 xori    a5,a5,-1
PC=000004F8 [FCF41F23] X30=00000000 X08=00500000 X15=FFFFAAAA sh      a5,-34(s0/fp)
PC=000004FC [FC041F23] X30=00000000 X08=00500000 X00=00000000 sh      zero,-34(s0/fp)
PC=00000500 [FEC45783] X15=0000AAAA X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000504 [FFF7C793] X15=FFFF5555 X15=0000AAAA X31=00000000 xori    a5,a5,-1
PC=00000508 [FCF41E23] X28=00000000 X08=00500000 X15=FFFF5555 sh      a5,-36(s0/fp)
PC=0000050C [FC041E23] X28=00000000 X08=00500000 X00=00000000 sh      zero,-36(s0/fp)
PC=00000510 [FE041723] X14=00005555 X08=00500000 X00=00000000 sh      zero,-18(s0/fp)
PC=00000514 [FE041623] X12=00000000 X08=00500000 X00=00000000 sh      zero,-20(s0/fp)
PC=00000518 [FEE45703] X14=00000000 X08=00500000 X14=00005555 lhu     a4,-18(s0/fp)
PC=0000051C [FEC45783] X15=00000000 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000520 [00F767B3] X15=00000000 X14=00000000 X15=00000000 or      a5,a4,a5
PC=00000524 [FEF41523] X10=00000000 X08=00500000 X15=00000000 sh      a5,-22(s0/fp)
PC=00000528 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=0000052C [FEE45703] X14=00000000 X08=00500000 X14=00000000 lhu     a4,-18(s0/fp)
PC=00000530 [FEC45783] X15=00000000 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000534 [00F777B3] X15=00000000 X14=00000000 X15=00000000 and     a5,a4,a5
PC=00000538 [FEF41423] X08=00500000 X08=00500000 X15=00000000 sh      a5,-24(s0/fp)
PC=0000053C [FE041423] X08=00500000 X08=00500000 X00=00000000 sh      zero,-24(s0/fp)
PC=00000540 [FEE45703] X14=00000000 X08=00500000 X14=00000000 lhu     a4,-18(s0/fp)
PC=00000544 [FEC45783] X15=00000000 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000548 [00F747B3] X15=00000000 X14=00000000 X15=00000000 xor     a5,a4,a5
PC=0000054C [FEF41323] X06=00000000 X08=00500000 X15=00000000 sh      a5,-26(s0/fp)
PC=00000550 [FE041323] X06=00000000 X08=00500000 X00=00000000 sh      zero,-26(s0/fp)
PC=00000554 [FEE45703] X14=00000000 X08=00500000 X14=00000000 lhu     a4,-18(s0/fp)
PC=00000558 [FEC45783] X15=00000000 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=0000055C [00F767B3] X15=00000000 X14=00000000 X15=00000000 or      a5,a4,a5
PC=00000560 [01079793] X15=00000000 X15=00000000 X16=00000000 slli    a5,a5,16
PC=00000564 [0107D793] X15=00000000 X15=00000000 X16=00000000 srli    a5,a5,16
PC=00000568 [FFF7C793] X15=FFFFFFFF X15=00000000 X31=00000000 xori    a5,a5,-1
PC=0000056C [FEF41223] X04=00000000 X08=00500000 X15=FFFFFFFF sh      a5,-28(s0/fp)
PC=00000570 [FE041223] X04=00000000 X08=00500000 X00=00000000 sh      zero,-28(s0/fp)
PC=00000574 [FEE45703] X14=00000000 X08=00500000 X14=00000000 lhu     a4,-18(s0/fp)
PC=00000578 [FEC45783] X15=00000000 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=0000057C [00F777B3] X15=00000000 X14=00000000 X15=00000000 and     a5,a4,a5
PC=00000580 [01079793] X15=00000000 X15=00000000 X16=00000000 slli    a5,a5,16
PC=00000584 [0107D793] X15=00000000 X15=00000000 X16=00000000 srli    a5,a5,16
PC=00000588 [FFF7C793] X15=FFFFFFFF X15=00000000 X31=00000000 xori    a5,a5,-1
PC=0000058C [FEF41123] X02=004FFFD0 X08=00500000 X15=FFFFFFFF sh      a5,-30(s0/fp)
PC=00000590 [FE041123] X02=004FFFD0 X08=00500000 X00=00000000 sh      zero,-30(s0/fp)
PC=00000594 [FEE45703] X14=00000000 X08=00500000 X14=00000000 lhu     a4,-18(s0/fp)
PC=00000598 [FEC45783] X15=00000000 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=0000059C [00F747B3] X15=00000000 X14=00000000 X15=00000000 xor     a5,a4,a5
PC=000005A0 [01079793] X15=00000000 X15=00000000 X16=00000000 slli    a5,a5,16
PC=000005A4 [0107D793] X15=00000000 X15=00000000 X16=00000000 srli    a5,a5,16
PC=000005A8 [FFF7C793] X15=FFFFFFFF X15=00000000 X31=00000000 xori    a5,a5,-1
PC=000005AC [FEF41023] X00=00000000 X08=00500000 X15=FFFFFFFF sh      a5,-32(s0/fp)
PC=000005B0 [FE041023] X00=00000000 X08=00500000 X00=00000000 sh      zero,-32(s0/fp)
PC=000005B4 [FEE45783] X15=00000000 X08=00500000 X14=00000000 lhu     a5,-18(s0/fp)
PC=000005B8 [FFF7C793] X15=FFFFFFFF X15=00000000 X31=00000000 xori    a5,a5,-1
PC=000005BC [FCF41F23] X30=00000000 X08=00500000 X15=FFFFFFFF sh      a5,-34(s0/fp)
PC=000005C0 [FC041F23] X30=00000000 X08=00500000 X00=00000000 sh      zero,-34(s0/fp)
PC=000005C4 [FEC45783] X15=00000000 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000005C8 [FFF7C793] X15=FFFFFFFF X15=00000000 X31=00000000 xori    a5,a5,-1
PC=000005CC [FCF41E23] X28=00000000 X08=00500000 X15=FFFFFFFF sh      a5,-36(s0/fp)
PC=000005D0 [FC041E23] X28=00000000 X08=00500000 X00=00000000 sh      zero,-36(s0/fp)
PC=000005D4 [00000793] X15=00000000 X00=00000000 X00=00000000 addi    a5,zero,0
PC=000005D8 [00078513] X10=00000000 X15=00000000 X00=00000000 addi    a0,a5,0
PC=000005DC [02C12403] X08=00000000 X02=004FFFD0 X12=00000000 lw      s0/fp,44(sp)
PC=000005E0 [03010113] X02=00500000 X02=004FFFD0 X16=00000000 addi    sp,sp,48
PC=000005E4 [00008067] X00=00000000 X01=000001C0 X00=00000000 jalr    zero,ra,0
PC=000001C0 [200002B7] X05=20000000 X00=00000000 X00=00000000 lui     t0,536870912
PC=000001C4 [00100073] X00=00000000 X00=00000000 X01=000001C0 ebreak  
