PC=00000424 [FCF42C23] X24=00000000 X08=00500000 X15=55555555 sw      a5,-40(s0/fp)
PC=00000428 [FDC42703] X14=AAAAAAAA X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=0000042C [FD842783] X15=55555555 X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=00000430 [40F707B3] X15=55555555 X14=AAAAAAAA X15=55555555 sub     a5,a4,a5
PC=00000434 [FCF42A23] X20=00000000 X08=00500000 X15=55555555 sw      a5,-44(s0/fp)
PC=00000438 [FC042A23] X20=00000000 X08=00500000 X00=00000000 sw      zero,-44(s0/fp)
PC=0000043C [00F00793] X15=0000000F X00=00000000 X15=55555555 addi    a5,zero,15
PC=00000440 [FCF42823] X16=00000000 X08=00500000 X15=0000000F sw      a5,-48(s0/fp)
PC=00000444 [FD042783] X15=0000000F X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=00000448 [FFF78793] X15=0000000E X15=0000000F X31=00000000 addi    a5,a5,-1
PC=0000044C [FCF42823] X16=00000000 X08=00500000 X15=0000000E sw      a5,-48(s0/fp)
PC=00000450 [FD042783] X15=0000000E X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=00000454 [FFE78793] X15=0000000C X15=0000000E X30=00000000 addi    a5,a5,-2
PC=00000458 [FCF42823] X16=00000000 X08=00500000 X15=0000000C sw      a5,-48(s0/fp)
PC=0000045C [FD042783] X15=0000000C X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=00000460 [FFD78793] X15=00000009 X15=0000000C X29=00000000 addi    a5,a5,-3
PC=00000464 [FCF42823] X16=00000000 X08=00500000 X15=00000009 sw      a5,-48(s0/fp)
PC=00000468 [FD042783] X15=00000009 X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=0000046C [FFC78793] X15=00000005 X15=00000009 X28=00000000 addi    a5,a5,-4
PC=00000470 [FCF42823] X16=00000000 X08=00500000 X15=00000005 sw      a5,-48(s0/fp)
PC=00000474 [FD042783] X15=00000005 X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=00000478 [FFB78793] X15=00000000 X15=00000005 X27=00000000 addi    a5,a5,-5
PC=0000047C [FCF42823] X16=00000000 X08=00500000 X15=00000000 sw      a5,-48(s0/fp)
PC=00000480 [FC042823] X16=00000000 X08=00500000 X00=00000000 sw      zero,-48(s0/fp)
PC=00000484 [FE042023] X00=00000000 X08=00500000 X00=00000000 sw      zero,-32(s0/fp)
PC=00000488 [FE042783] X15=00000000 X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=0000048C [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=00000490 [FEF42023] X00=00000000 X08=00500000 X15=00000001 sw      a5,-32(s0/fp)
PC=00000494 [FE042783] X15=00000001 X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=00000498 [00278793] X15=00000003 X15=00000001 X02=004FFFD0 addi    a5,a5,2
PC=0000049C [FEF42023] X00=00000000 X08=00500000 X15=00000003 sw      a5,-32(s0/fp)
PC=000004A0 [FE042783] X15=00000003 X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=000004A4 [00378793] X15=00000006 X15=00000003 X03=00000000 addi    a5,a5,3
PC=000004A8 [FEF42023] X00=00000000 X08=00500000 X15=00000006 sw      a5,-32(s0/fp)
PC=000004AC [FE042783] X15=00000006 X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=000004B0 [00478793] X15=0000000A X15=00000006 X04=00000000 addi    a5,a5,4
PC=000004B4 [FEF42023] X00=00000000 X08=00500000 X15=0000000A sw      a5,-32(s0/fp)
PC=000004B8 [FE042783] X15=0000000A X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=000004BC [00578793] X15=0000000F X15=0000000A X05=00000000 addi    a5,a5,5
PC=000004C0 [FEF42023] X00=00000000 X08=00500000 X15=0000000F sw      a5,-32(s0/fp)
PC=000004C4 [FE042023] X00=00000000 X08=00500000 X00=00000000 sw      zero,-32(s0/fp)
PC=000004C8 [FC042823] X16=00000000 X08=00500000 X00=00000000 sw      zero,-48(s0/fp)
PC=000004CC [FD042783] X15=00000000 X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=000004D0 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=000004D4 [FCF42823] X16=00000000 X08=00500000 X15=00000001 sw      a5,-48(s0/fp)
PC=000004D8 [FD042783] X15=00000001 X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=000004DC [00278793] X15=00000003 X15=00000001 X02=004FFFD0 addi    a5,a5,2
PC=000004E0 [FCF42823] X16=00000000 X08=00500000 X15=00000003 sw      a5,-48(s0/fp)
PC=000004E4 [FD042783] X15=00000003 X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=000004E8 [00378793] X15=00000006 X15=00000003 X03=00000000 addi    a5,a5,3
PC=000004EC [FCF42823] X16=00000000 X08=00500000 X15=00000006 sw      a5,-48(s0/fp)
PC=000004F0 [FD042783] X15=00000006 X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=000004F4 [00478793] X15=0000000A X15=00000006 X04=00000000 addi    a5,a5,4
PC=000004F8 [FCF42823] X16=00000000 X08=00500000 X15=0000000A sw      a5,-48(s0/fp)
PC=000004FC [FD042783] X15=0000000A X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=00000500 [00578793] X15=0000000F X15=0000000A X05=00000000 addi    a5,a5,5
PC=00000504 [FCF42823] X16=00000000 X08=00500000 X15=0000000F sw      a5,-48(s0/fp)
PC=00000508 [FC042823] X16=00000000 X08=00500000 X00=00000000 sw      zero,-48(s0/fp)
PC=0000050C [00000793] X15=00000000 X00=00000000 X00=00000000 addi    a5,zero,0
PC=00000510 [00078513] X10=00000000 X15=00000000 X00=00000000 addi    a0,a5,0
PC=00000514 [02C12403] X08=00000000 X02=004FFFD0 X12=00000000 lw      s0/fp,44(sp)
PC=00000518 [03010113] X02=00500000 X02=004FFFD0 X16=00000000 addi    sp,sp,48
PC=0000051C [00008067] X00=00000000 X01=000001C0 X00=00000000 jalr    zero,ra,0
PC=000001C0 [200002B7] X05=20000000 X00=00000000 X00=00000000 lui     t0,536870912
PC=000001C4 [00100073] X00=00000000 X00=00000000 X01=000001C0 ebreak  
